Grundstueck in qm;Grundstuecksform;Steigung;Bezirk;Zone;Lage;Typ;Zustand;Gebaut;Renoviert;Zustand Fassade;Kellerflaeche in qm;Heizung;Heizungsqualitaet;Klimaanlage;Erster Stock in qm;Zweiter Stock in qm;Wohnflaeche in qm;Schlafzimmer;Kuechen;Kuechenqualitaet;Raeume;Garage Typ;Garagenkapazitaet;Pool;Verkaufsmonat;Verkaufsjahr;Preis
898;IR1;Nein;Somerset;RL;Norm;2Fam;4;2107;2107;3;183;GasA;Ty;Y;183;0;183;6;2;3;10;Anbau;2;NA;8;2136;156500
1326;Reg;Nein;North East;RL;Norm;1Fam;5;2133;2133;3;122;GasA;Ex;Y;113;109;222;3;1;4;7;Anbau;3;NA;1;2137;350000
725;Reg;Nein;Somerset;RL;Norm;1Fam;7;2096;2138;3;80;GasA;Ex;Y;83;0;83;3;1;4;5;Freistehend;1;NA;6;2140;137900
725;Reg;Nein;Somerset West;RL;Norm;1Fam;5;2135;2135;3;83;GasA;Ex;Y;83;74;157;3;1;4;8;Anbau;2;NA;4;2136;184000
697;Reg;Nein;Miller;RL;Norm;1Fam;5;2129;2129;3;92;GasA;Gut;Y;96;72;168;3;1;4;7;Anbau;2;NA;6;2140;189000
1274;Reg;Nein;Water District;RM;Norm;1Fam;5;2080;2080;3;85;GasA;Ty;Y;85;60;145;4;1;3;6;Anbau;1;NA;6;2137;152000
4328;IR2;Nein;East End;RL;Norm;1Fam;7;2124;2135;3;151;GasA;Ex;Y;157;71;227;4;1;4;8;Anbau;3;NA;7;2139;402000
211;Reg;Nein;North East;RL;Norm;RMH;5;2133;2134;3;71;GasA;Ex;Y;71;80;151;2;1;4;6;Eingebaut;2;NA;7;2139;173000
557;Reg;Nein;University;RL;Norm;1Fam;5;2056;2080;2;94;GasA;Ex;Y;94;0;141;4;1;3;7;NA;0;NA;6;2136;102000
799;Reg;Ja;Water District;RM;Norm;1Fam;6;2067;2080;3;72;GasA;Ty;Y;72;55;128;3;1;3;7;Freistehend;1;NA;6;2136;119500
1000;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2137;2137;3;80;GasA;Ex;Y;80;84;164;3;1;4;7;Anbau;2;NA;4;2139;212000
648;Reg;Ja;Old Gotham;RM;Str;1Fam;7;2056;2110;4;79;GasA;Ty;Y;89;0;89;2;1;3;5;Freistehend;2;NA;4;2137;103000
1474;Reg;Nein;University;RL;Norm;1Fam;3;2050;2100;3;77;GasA;Ex;Y;157;93;286;5;1;3;12;TG;2;NA;8;2139;197000
248;Reg;Nein;Paris Island;RM;Norm;REH;6;2107;2107;3;70;GasA;Ex;Y;86;51;137;4;1;3;6;Anbau;1;NA;7;2136;127000
892;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2090;2090;2;120;GasA;Ty;Y;139;0;139;3;1;4;6;Anbau;2;NA;2;2138;141500
904;Reg;Nein;Tricorner;RL;Norm;1Fam;5;2136;2137;3;36;GasA;Gut;Y;70;59;130;3;1;4;7;Eingebaut;2;NA;5;2138;167500
1482;IR1;Ja;Burnley;RL;Norm;1Fam;6;2107;2107;3;116;GasA;Ty;Y;126;0;126;3;1;3;6;Anbau;2;NA;9;2137;188000
1050;Reg;Nein;Tricorner;RL;Norm;1Fam;5;2132;2132;3;179;GasA;Ex;Y;179;0;179;2;1;4;6;Anbau;3;NA;4;2137;282000
2037;IR3;Nein;Miller;RL;Bahn;1Fam;5;2135;2135;3;68;GasA;Ex;Y;68;103;171;4;1;3;7;Eingebaut;2;NA;7;2136;192140
780;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2100;2100;3;82;GasA;Ty;Y;82;0;82;2;1;3;4;Anbau;2;NA;4;2140;126000
541;Reg;Nein;Old Gotham;RM;Norm;1Fam;8;2085;2135;4;108;GasA;Ex;Y;108;0;108;3;1;3;6;Anbau;1;NA;7;2136;126175
377;IR1;Nein;Tricorner;RL;Norm;REH;6;2117;2117;3;139;GasA;Ex;Y;139;0;139;2;1;4;5;Anbau;2;NA;10;2137;244000
1231;IR1;Nein;Somerst;RL;Bahn;1Fam;5;2136;2136;3;147;GasA;Gut;Y;147;0;147;3;1;4;7;Anbau;3;NA;5;2138;240000
1613;Reg;Nein;New Gotham;RL;Str;1Fam;6;2079;2080;4;73;GasA;Ty;Y;95;50;145;3;1;3;6;Anbau;2;NA;1;2140;172500
965;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2134;2135;3;186;GasA;Ex;Y;186;0;186;3;1;4;8;Anbau;3;NA;7;2137;305900
783;Reg;Nein;Somerset;RL;Str;2FamAn;6;2101;2120;3;71;GasA;Gut;Y;81;0;81;2;1;3;6;Freistehend;2;NA;5;2137;119900
651;Reg;Nein;Old Gotham;RL;Norm;1Fam;8;2030;2128;4;42;GasA;Ex;Y;42;25;67;1;1;2;5;Anbau;1;NA;3;2136;86900
990;IR1;Nein;North East;RL;Norm;1Fam;5;2133;2134;3;298;GasA;Ex;Y;151;0;151;3;1;4;7;Anbau;3;NA;10;2139;284000
1178;IR1;Nein;North West;RL;Norm;1Fam;6;2118;2118;3;156;GasA;Ex;Y;157;0;157;2;1;5;6;Anbau;2;NA;6;2138;226500
2057;Reg;Nein;Old Gotham;RL;Str;2FamAn;5;2055;2105;2;202;GasA;Ty;Y;129;116;245;5;1;3;10;Anbau;3;NA;7;2136;180000
1027;Reg;Nein;Burnley;RL;Norm;1Fam;5;2128;2129;3;97;GasA;Ex;Y;96;82;178;3;1;4;8;Anbau;3;NA;5;2140;254900
987;Reg;Nein;North East;RL;Norm;1Fam;5;2133;2134;3;93;GasA;Ex;Y;93;97;190;3;1;4;8;Eingebaut;3;NA;8;2138;284000
688;Reg;Nein;Old Gotham;RM;Str;1Fam;7;2087;2126;3;85;GasA;Ty;Y;115;0;115;2;1;3;6;Anbau;2;NA;4;2140;149700
186;Reg;Nein;Paris Island;RM;Norm;RMH;5;2100;2100;3;51;GasA;Ud;Y;51;51;101;3;1;3;6;Anbau;1;NA;1;2137;75000
297;Reg;Nein;Upper West;RL;Norm;REH;5;2133;2133;3;118;GasA;Ex;Y;135;0;135;2;1;4;7;Anbau;2;NA;5;2136;215000
360;Reg;Nein;Old Gotham;RM;Norm;1Fam;9;2075;2127;4;64;GasA;Gut;Y;80;0;80;2;1;4;4;NA;0;NA;8;2137;110500
831;Reg;Nein;New Gotham;RL;Norm;2Fam;5;2097;2097;3;147;GasA;Ty;Y;147;0;147;4;2;3;8;Freistehend;3;NA;4;2139;124000
930;Reg;Nein;East End;RL;Norm;1Fam;5;2123;2124;3;100;GasA;Ex;Y;103;101;204;4;1;4;9;Anbau;3;NA;7;2138;287500
1598;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2091;2091;4;85;GasA;Ex;Y;85;0;85;2;1;3;4;TG;1;NA;7;2137;128000
721;Reg;Nein;Water District;RM;Norm;1Fam;4;2061;2080;2;97;GasA;Ex;Y;114;55;169;4;1;3;7;Freistehend;1;NA;6;2137;169500
1084;IR1;Nein;Somerst;RL;Bahn;1Fam;5;2136;2136;3;177;GasA;Ex;Y;177;0;177;3;1;5;8;Anbau;3;NA;3;2137;320000
412;Reg;Nein;ChinaTown;RM;Norm;REH;5;2133;2133;3;79;GasA;Ex;Y;79;0;79;1;1;4;4;Anbau;2;NA;4;2140;143750
948;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2137;2137;3;147;GasA;Ex;Y;149;0;149;3;1;4;7;Anbau;3;NA;1;2139;293200
1514;IR1;Nein;ChinaTown;RL;Norm;1Fam;4;2107;2107;3;81;GasA;Ty;Y;84;0;84;3;1;3;5;Anbau;1;NA;1;2137;130000
849;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2132;2133;3;143;GasA;Ex;Y;143;0;143;3;1;4;7;Anbau;2;NA;12;2138;214000
1003;Reg;Nein;Old Gotham;RL;Norm;1Fam;6;2057;2137;3;61;GasA;Ty;Y;90;0;90;4;1;3;5;Freistehend;1;NA;8;2137;64500
943;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2086;2124;3;104;GasA;Ex;Y;104;0;104;3;1;3;6;Anbau;1;NA;5;2136;153000
